x;y;z;1573102185;716;-110;
1573102195;196;-110;
-0.200632;0.187086;0.55031;
-0.205593;0.18646;0.55037;
-0.209417;0.189677;0.550532;
-0.213124;0.186545;0.549326;
-0.217861;0.184964;0.549089;
-0.220708;0.180859;0.549306;
-0.224162;0.177245;0.54936;
-0.228357;0.179967;0.549346;
-0.233338;0.180396;0.549407;
-0.235091;0.175718;0.549209;
-0.234264;0.170849;0.54999;
-0.236398;0.166337;0.550291;
-0.239396;0.162336;0.550314;
-0.244347;0.162993;0.550084;
-0.249085;0.161395;0.550062;
-0.25164;0.157097;0.550116;
-0.256623;0.157058;0.549698;
-0.261535;0.156409;0.550369;
-0.266522;0.156749;0.550445;
-0.270541;0.153774;0.550502;
-0.27545;0.154677;0.550783;
-0.276924;0.14991;0.551115;
-0.281324;0.147577;0.550675;
-0.286068;0.147377;0.549107;
-0.290975;0.148324;0.54926;
-0.29597;0.148108;0.549262;
-0.300531;0.146097;0.549656;
-0.3055;0.145561;0.549503;
-0.305454;0.140562;0.549491;
-0.310035;0.138559;0.549458;
-0.312134;0.134027;0.54923;
-0.316929;0.133367;0.550484;
-0.32104;0.130525;0.550334;
-0.325199;0.12775;0.550383;
-0.328787;0.124268;0.55035;
-0.33065;0.119637;0.550062;
-0.333108;0.115283;0.550029;
-0.335849;0.111101;0.550003;
-0.338777;0.107056;0.549752;
-0.341042;0.102599;0.549762;
-0.342301;0.0977599;0.54977;
-0.339048;0.0939799;0.549415;
-0.341307;0.0895255;0.549652;
-0.344654;0.0866878;0.549215;
-0.347264;0.0824284;0.548996;
-0.351226;0.0795267;0.549934;
-0.354761;0.0760024;0.550219;
-0.35661;0.0713756;0.549799;
-0.3611;0.0696533;0.549704;
-0.363732;0.065406;0.549529;
-0.368248;0.0632613;0.549457;
-0.372118;0.0601015;0.549647;
-0.376782;0.0583026;0.549505;
-0.38153;0.0575233;0.55;0;0;0;0;
-0.398152;0.046401;0.55;0;0;0;0;
1573102195;234;-110;
-0.200632;0.187086;0.55031;
-0.205593;0.18646;0.55037;
-0.209417;0.189677;0.550532;
-0.213124;0.186545;0.549326;
-0.217861;0.184964;0.549089;
-0.220708;0.180859;0.549306;
-0.224162;0.177245;0.54936;
-0.228357;0.179967;0.549346;
-0.233338;0.180396;0.549407;
-0.235091;0.175718;0.549209;
-0.234264;0.170849;0.54999;
-0.236398;0.166337;0.550291;
-0.239396;0.162336;0.550314;
-0.244347;0.162993;0.550084;
-0.249085;0.161395;0.550062;
-0.25164;0.157097;0.550116;
-0.256623;0.157058;0.549698;
-0.261535;0.156409;0.550369;
-0.266522;0.156749;0.550445;
-0.270541;0.153774;0.550502;
-0.27545;0.154677;0.550783;
-0.276924;0.14991;0.551115;
-0.281324;0.147577;0.550675;
-0.286068;0.147377;0.549107;
